"","k","N","NF","NM","SDF","SDM","lam01","lam02","sig1","sig2","SDFS","SDFL","SDMS","SDML","truesig1","truesig2","truelam01","truelam02","N1CI","N2CI","Sig1CI","Sig2CI","Lam01CI","Lam02CI","TrueNF","TrueNM","Model"
"19",25,0,326,208,45.080477572222,46.8141140722953,0.0625990817044697,0.037251925086605,0.596804797546781,0.819273419187685,0.0462179794364755,0.0109213907612392,0.0943183691505651,0.00792887364210279,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,272,185,"BandSMR"
"20",26,0,373,190,26.9441604558291,41.8672875740546,0.0572966481710236,0.0359825260732083,0.601487926095728,0.862493296810218,0.0433391209042572,0.0093109941274765,0.11076376416271,0.00868590643627202,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,261,180,"BandSMR"
"21",27,0,283,225,48.0053871082466,40.9048108373812,0.0644461408145591,0.024058852871422,0.649519435259308,1.00510458500867,0.0493713179913644,0.0107098558973095,0.14112523493074,0.006698952951026,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,270,181,"BandSMR"
"22",28,0,304,204,44.0427779514321,43.1963050762884,0.0816950124705045,0.0360683544251085,0.596143653813066,0.781607065077156,0.0438778032507304,0.0126281050527358,0.0781360886658139,0.00832584542029727,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,265,180,"BandSMR"
"23",29,0,357,177,34.8050181405576,39.3178235927674,0.056288061109671,0.038506861859022,0.605219943947778,0.880946977021586,0.0480676390970861,0.010316252304181,0.0762581034062244,0.0083785006742036,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,269,182,"BandSMR"
"24",3,0,351,233,40.7014771883327,39.6694178715228,0.0533769871399945,0.0268608258648334,0.56392314288887,0.907251534705092,0.0551431294360398,0.010209730175924,0.114483114725341,0.00648138774388034,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,264,174,"BandSMR"
"25",30,0,328,249,39.3085428713845,37.6348776084354,0.0676169866857457,0.0264366169696576,0.654445658351576,0.846661892712251,0.0400075225665283,0.00952652737912923,0.127198034747956,0.00707168015524134,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,269,183,"BandSMR"
"26",31,0,361,250,34.0461376905688,38.8661019867342,0.0813622148336186,0.0238379469569941,0.544328943430749,0.985581177879723,0.0380449693339774,0.0122719942908728,0.159200926046166,0.00650131876945043,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,268,182,"BandSMR"
"27",32,0,341,260,38.1305760111533,33.3052934882868,0.0571873866547327,0.0311787461307014,0.640646260769954,0.796595001310434,0.0471262791426407,0.00982222075530968,0.0829342195739265,0.00694746977985876,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,276,175,"BandSMR"
"28",33,0,317,229,47.4582154632935,35.4432377217812,0.0620085161225327,0.0453389712785813,0.596169336502321,0.790728091269103,0.055401871123387,0.0113481974180231,0.0653245189112268,0.00858147742698689,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,262,178,"BandSMR"
"29",34,0,361,245,30.0679144401228,38.8945882240355,0.0633288175689687,0.023913460506077,0.588679026312103,0.940384294719048,0.0462246728680554,0.0108294515123425,0.113915338318839,0.00592672375993936,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,270,175,"BandSMR"
"30",35,0,302,259,47.00244415973,31.6374808891079,0.0775442008907219,0.0220269094119285,0.589972966389912,0.917210190954212,0.0468905946978488,0.013413646456287,0.118267266187297,0.00560982993165667,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,268,178,"BandSMR"
"31",36,0,361,238,33.2156413695699,38.1172179025793,0.0598818168588676,0.0327628843132249,0.608381382173868,0.847602553801447,0.0450344623739199,0.00955853841331673,0.0945012363321562,0.00798448526982145,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,275,184,"BandSMR"
"32",37,0,303,148,44.8408621828481,32.8735294825896,0.100652858609002,0.0372076933770001,0.540758141972381,0.937500287411428,0.0379626224359287,0.0151588420062329,0.0914967924780763,0.00841599477512357,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,271,174,"BandSMR"
"33",38,0,370,242,27.7790043101642,36.3690339331248,0.061617999285693,0.0190044159032056,0.62052996225275,1.05500133436943,0.0423514648685674,0.00909624025422097,0.119264984510648,0.0045412118617471,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,277,176,"BandSMR"
"34",39,0,367,256,30.2680120452438,33.4668820691377,0.0744045640638952,0.0305914056849857,0.536150001184579,0.82423790416022,0.0424082258560635,0.0112914114162153,0.0879307778673742,0.006890882375162,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,264,179,"BandSMR"
